DATE,SP500,TB3MS,30YEAR,INFLATION,RECESSION,SUNSPOTS
202009,-4.64,0.11,2.89,2.08,0,-99.27
202010,-3.28,0.1,2.83,1.84,0,-82.16
202011,9.41,0.09,2.77,1.8,0,-57.85
202012,2.56,0.09,2.68,1.72,0,-71.78
202101,0.37,0.08,2.74,1.52,0,-87.29
202102,0.99,0.04,2.81,1.53,0,-89.98
202103,1.82,0.03,3.08,1.71,0,-78.98
202104,4.01,0.02,3.06,2.26,0,-70.07
202105,0.27,0.02,2.96,2.62,0,-74.1
202106,2.27,0.04,2.98,2.59,0,-69.45
202107,1.74,0.05,2.87,2.32,0,-58.09
202108,3.09,0.05,2.84,2.34,0,-73.12
202109,-4.79,0.04,2.9,2.64,0,-37.32
202110,5.7,0.05,3.07,3.04,0,-54.3
202111,-1.01,0.05,3.07,3.21,0,-57.48
202112,5.61,0.06,3.1,3.48,0,-17.53
202201,-5.86,0.15,3.45,3.99,0,-32.43
202202,-3.8,0.33,3.76,4.31,0,-25.59
202203,5.21,0.44,4.17,4.56,0,-3.97
202204,-9.11,0.76,4.98,4.72,0,2.63
202205,-0.56,0.98,5.23,4.99,0,17.9
202206,-7.7,1.49,5.52,5.42,0,-14.11
202207,7.97,2.23,5.41,5.63,0,11.67
202208,-3.97,2.63,5.22,5.99,0,-8.85
202209,-9.61,3.13,6.11,6.39,0,17.29
202210,5.26,3.72,6.9,6.37,0,16.68
202211,5.81,4.15,6.81,6.47,0,-1.64
202212,-5.82,4.25,6.36,6.62,0,37.82
202301,6.6,4.54,6.27,6.55,0,76.43
202302,-3.62,4.65,6.26,6.59,0,35.99
202303,4,4.69,6.54,6.45,0,50.65
202304,1.09,4.92,6.34,6.32,0,19.25
202305,0.29,5.14,6.43,6,0,67.88
202306,5.43,5.16,6.71,5.63,0,96.1
202307,2.99,5.25,6.84,5.46,0,94.39
202308,-1.51,5.3,7.07,5.22,0,40.26
202309,-5.04,5.32,7.2,5.01,0,63.23
