,DATE,SP500
201,2019-08-06,2881.77
202,2019-08-07,2883.98
203,2019-08-08,2938.09
204,2019-08-09,2918.65
205,2019-08-12,2883.75
206,2019-08-13,2926.32
207,2019-08-14,2840.6
208,2019-08-15,2847.6
209,2019-08-16,2888.68
210,2019-08-19,2923.65
211,2019-08-20,2900.51
212,2019-08-21,2924.43
213,2019-08-22,2922.95
214,2019-08-23,2847.11
215,2019-08-26,2878.38
216,2019-08-27,2869.16
217,2019-08-28,2887.94
218,2019-08-29,2924.58
219,2019-08-30,2926.46
220,2019-09-02,.
221,2019-09-03,2906.27
222,2019-09-04,2937.78
223,2019-09-05,2976
224,2019-09-06,2978.71
225,2019-09-09,2978.43
226,2019-09-10,2979.39
227,2019-09-11,3000.93
228,2019-09-12,3009.57
229,2019-09-13,3007.39
230,2019-09-16,2997.96
231,2019-09-17,3005.7
232,2019-09-18,3006.73
233,2019-09-19,3006.79
234,2019-09-20,2992.07
235,2019-09-23,2991.78
236,2019-09-24,2966.6
237,2019-09-25,2984.87
238,2019-09-26,2977.62
239,2019-09-27,2961.79
240,2019-09-30,2976.74
241,2019-10-01,2940.25
242,2019-10-02,2887.61
243,2019-10-03,2910.63
244,2019-10-04,2952.01
245,2019-10-07,2938.79
246,2019-10-08,2893.06
247,2019-10-09,2919.4
248,2019-10-10,2938.13
249,2019-10-11,2970.27
250,2019-10-14,2966.15
251,2019-10-15,2995.68
252,2019-10-16,2989.69
253,2019-10-17,2997.95
254,2019-10-18,2986.2
255,2019-10-21,3006.72
256,2019-10-22,2995.99
257,2019-10-23,3004.52
258,2019-10-24,3010.29
259,2019-10-25,3022.55
260,2019-10-28,3039.42
261,2019-10-29,3036.89
262,2019-10-30,3046.77
263,2019-10-31,3037.56
264,2019-11-01,3066.91
265,2019-11-04,3078.27
266,2019-11-05,3074.62
267,2019-11-06,3076.78
268,2019-11-07,3085.18
269,2019-11-08,3093.08
270,2019-11-11,3087.01
271,2019-11-12,3091.84
272,2019-11-13,3094.04
273,2019-11-14,3096.63
274,2019-11-15,3120.46
275,2019-11-18,3122.03
276,2019-11-19,3120.18
277,2019-11-20,3108.46
278,2019-11-21,3103.54
279,2019-11-22,3110.29
280,2019-11-25,3133.64
281,2019-11-26,3140.52
282,2019-11-27,3153.63
283,2019-11-28,.
284,2019-11-29,3140.98
285,2019-12-02,3113.87
286,2019-12-03,3093.2
287,2019-12-04,3112.76
288,2019-12-05,3117.43
289,2019-12-06,3145.91
290,2019-12-09,3135.96
291,2019-12-10,3132.52
292,2019-12-11,3141.63
293,2019-12-12,3168.57
