,DATE,SP500,month,number
124,4/19/2019,,2019-04-19,
125,4/22/2019,2907.97,2019-04-22,2907.97
126,4/23/2019,2933.68,2019-04-23,2933.68
127,4/24/2019,2927.25,2019-04-24,2927.25
128,4/25/2019,2926.17,2019-04-25,2926.17
129,4/26/2019,2939.88,2019-04-26,2939.88
130,4/29/2019,2943.03,2019-04-29,2943.03
131,4/30/2019,2945.83,2019-04-30,2945.83
132,5/1/2019,2923.73,2019-05-01,2923.73
133,5/2/2019,2917.52,2019-05-02,2917.52
134,5/3/2019,2945.64,2019-05-03,2945.64
135,5/6/2019,2932.47,2019-05-06,2932.47
136,5/7/2019,2884.05,2019-05-07,2884.05
137,5/8/2019,2879.42,2019-05-08,2879.42
138,5/9/2019,2870.72,2019-05-09,2870.72
139,5/10/2019,2881.4,2019-05-10,2881.4
140,5/13/2019,2811.87,2019-05-13,2811.87
141,5/14/2019,2834.41,2019-05-14,2834.41
142,5/15/2019,2850.96,2019-05-15,2850.96
143,5/16/2019,2876.32,2019-05-16,2876.32
144,5/17/2019,2859.53,2019-05-17,2859.53
145,5/20/2019,2840.23,2019-05-20,2840.23
146,5/21/2019,2864.36,2019-05-21,2864.36
147,5/22/2019,2856.27,2019-05-22,2856.27
148,5/23/2019,2822.24,2019-05-23,2822.24
149,5/24/2019,2826.06,2019-05-24,2826.06
150,5/27/2019,,2019-05-27,
151,5/28/2019,2802.39,2019-05-28,2802.39
152,5/29/2019,2783.02,2019-05-29,2783.02
153,5/30/2019,2788.86,2019-05-30,2788.86
154,5/31/2019,2752.06,2019-05-31,2752.06
155,6/3/2019,2744.45,2019-06-03,2744.45
156,6/4/2019,2803.27,2019-06-04,2803.27
157,6/5/2019,2826.15,2019-06-05,2826.15
158,6/6/2019,2843.49,2019-06-06,2843.49
159,6/7/2019,2873.34,2019-06-07,2873.34
160,6/10/2019,2886.73,2019-06-10,2886.73
161,6/11/2019,2885.72,2019-06-11,2885.72
162,6/12/2019,2879.84,2019-06-12,2879.84
163,6/13/2019,2891.64,2019-06-13,2891.64
164,6/14/2019,2886.98,2019-06-14,2886.98
165,6/17/2019,2889.67,2019-06-17,2889.67
166,6/18/2019,2917.75,2019-06-18,2917.75
167,6/19/2019,2926.46,2019-06-19,2926.46
168,6/20/2019,2954.18,2019-06-20,2954.18
169,6/21/2019,2950.46,2019-06-21,2950.46
170,6/24/2019,2945.35,2019-06-24,2945.35
171,6/25/2019,2917.38,2019-06-25,2917.38
172,6/26/2019,2913.78,2019-06-26,2913.78
173,6/27/2019,2924.92,2019-06-27,2924.92
174,6/28/2019,2941.76,2019-06-28,2941.76
175,7/1/2019,2964.33,2019-07-01,2964.33
176,7/2/2019,2973.01,2019-07-02,2973.01
177,7/3/2019,2995.82,2019-07-03,2995.82
178,7/4/2019,,2019-07-04,
179,7/5/2019,2990.41,2019-07-05,2990.41
180,7/8/2019,2975.95,2019-07-08,2975.95
181,7/9/2019,2979.63,2019-07-09,2979.63
182,7/10/2019,2993.07,2019-07-10,2993.07
183,7/11/2019,2999.91,2019-07-11,2999.91
184,7/12/2019,3013.77,2019-07-12,3013.77
185,7/15/2019,3014.3,2019-07-15,3014.3
186,7/16/2019,3004.04,2019-07-16,3004.04
187,7/17/2019,2984.42,2019-07-17,2984.42
188,7/18/2019,2995.11,2019-07-18,2995.11
189,7/19/2019,2976.61,2019-07-19,2976.61
190,7/22/2019,2985.03,2019-07-22,2985.03
191,7/23/2019,3005.47,2019-07-23,3005.47
192,7/24/2019,3019.56,2019-07-24,3019.56
193,7/25/2019,3003.67,2019-07-25,3003.67
194,7/26/2019,3025.86,2019-07-26,3025.86
195,7/29/2019,3020.97,2019-07-29,3020.97
196,7/30/2019,3013.18,2019-07-30,3013.18
197,7/31/2019,2980.38,2019-07-31,2980.38
198,8/1/2019,2953.56,2019-08-01,2953.56
199,8/2/2019,2932.05,2019-08-02,2932.05
200,8/5/2019,2844.74,2019-08-05,2844.74
201,8/6/2019,2881.77,2019-08-06,2881.77
202,8/7/2019,2883.98,2019-08-07,2883.98
203,8/8/2019,2938.09,2019-08-08,2938.09
204,8/9/2019,2918.65,2019-08-09,2918.65
205,8/12/2019,2883.75,2019-08-12,2883.75
206,8/13/2019,2926.32,2019-08-13,2926.32
207,8/14/2019,2840.6,2019-08-14,2840.6
208,8/15/2019,2847.6,2019-08-15,2847.6
209,8/16/2019,2888.68,2019-08-16,2888.68
210,8/19/2019,2923.65,2019-08-19,2923.65
211,8/20/2019,2900.51,2019-08-20,2900.51
212,8/21/2019,2924.43,2019-08-21,2924.43
213,8/22/2019,2922.95,2019-08-22,2922.95
214,8/23/2019,2847.11,2019-08-23,2847.11
215,8/26/2019,2878.38,2019-08-26,2878.38
216,8/27/2019,2869.16,2019-08-27,2869.16
217,8/28/2019,2887.94,2019-08-28,2887.94
218,8/29/2019,2924.58,2019-08-29,2924.58
219,8/30/2019,2926.46,2019-08-30,2926.46
220,9/2/2019,,2019-09-02,
221,9/3/2019,2906.27,2019-09-03,2906.27
222,9/4/2019,2937.78,2019-09-04,2937.78
223,9/5/2019,2976.0,2019-09-05,2976.0
224,9/6/2019,2978.71,2019-09-06,2978.71
225,9/9/2019,2978.43,2019-09-09,2978.43
226,9/10/2019,2979.39,2019-09-10,2979.39
227,9/11/2019,3000.93,2019-09-11,3000.93
228,9/12/2019,3009.57,2019-09-12,3009.57
229,9/13/2019,3007.39,2019-09-13,3007.39
230,9/16/2019,2997.96,2019-09-16,2997.96
231,9/17/2019,3005.7,2019-09-17,3005.7
232,9/18/2019,3006.73,2019-09-18,3006.73
233,9/19/2019,3006.79,2019-09-19,3006.79
234,9/20/2019,2992.07,2019-09-20,2992.07
235,9/23/2019,2991.78,2019-09-23,2991.78
236,9/24/2019,2966.6,2019-09-24,2966.6
237,9/25/2019,2984.87,2019-09-25,2984.87
238,9/26/2019,2977.62,2019-09-26,2977.62
239,9/27/2019,2961.79,2019-09-27,2961.79
240,9/30/2019,2976.74,2019-09-30,2976.74
241,10/1/2019,2940.25,2019-10-01,2940.25
242,10/2/2019,2887.61,2019-10-02,2887.61
243,10/3/2019,2910.63,2019-10-03,2910.63
244,10/4/2019,2952.01,2019-10-04,2952.01
245,10/7/2019,2938.79,2019-10-07,2938.79
